Player;Pos;90s;Touches;Received passes;Touches per received pass;Progressive passes
Jesse Lingard;FW;1.1;57.27;43.64;;3.64
Valentino Livramento;DF;17.9;58.1;29.05;2;2.51
Diego Llorente;DF;13.1;63.66;40.08;1.59;2.67
Hugo Lloris;GK;18;27.89;8.78;;0
Giovani Lo Celso;MF,FW;2.5;73.6;54.8;;2.4
Jürgen Locadia;FW;0.3;20;13.33;;0
Ruben Loftus-Cheek;MF;7.7;72.34;52.6;1.38;5.19
Shane Long;FW,MF;1.2;36.67;26.67;;1.67
Sean Longstaff;MF;10.4;51.06;29.13;1.75;2.4
Ademola Lookman;FW,MF;7.9;47.72;32.41;1.47;2.78
Imran Louza;MF;4.7;50.85;22.55;;4.68
Matthew Lowton;DF;16.8;54.23;24.17;2.24;4.05
Douglas Luiz;MF;14.7;56.39;32.86;1.72;3.2
Romelu Lukaku;FW;10.2;29.41;21.37;1.38;0.88
Lyanco;DF;5.9;50.68;24.07;;2.03
Alexis Mac Allister;MF,FW;7.4;66.08;40.81;1.62;4.86
James Maddison;MF,FW;12.9;43.95;31.01;1.42;3.57
Harry Maguire;DF;15.5;65.48;43.48;1.51;3.48
Riyad Mahrez;FW;9.4;68.72;53.09;1.29;4.36
Ainsley Maitland-Niles;MF;3;57;36;;4.33
Sadio Mané;FW;19;48.32;37.95;1.27;3.26
Javier Manquillo;DF;11.5;39.57;15.74;2.51;1.39
Fernando Marçal;DF;10.6;64.91;35.57;1.82;3.21
Solly March;DF,FW;9.7;54.54;34.33;1.59;2.78
Pablo Marí;DF;2;57;32.5;;4
Anthony Martial;FW;2.3;43.04;36.96;;3.04
Martinelli;FW,MF;8.7;38.74;24.83;1.56;0.8
Emiliano Martínez;GK;19;33.47;13.05;;0
Adam Masina;DF;9.6;54.58;25.31;2.16;2.71
Arthur Masuaku;DF,FW;5.6;68.39;38.39;;3.57
Jean-Philippe Mateta;FW;2.5;33.2;24;;0
Nemanja Matić;MF;8.4;75.6;53.1;1.42;5.24
Joël Matip;DF;16;80.44;56.44;1.43;5.25
Neal Maupay;FW;15.3;32.61;23.27;1.4;1.24
Bryan Mbeumo;FW;16.5;36.55;25.45;1.44;1.21
James McArthur;MF;10.6;65.85;40.85;1.61;4.25
James Mcatee;FW;0;0;0;;0
Kasey McAteer;FW;0;0;0;;0
Liam McCarron;FW;0.1;20;10;;0
Alex McCarthy;GK;15;32.2;13.73;;0
John McGinn;MF;16.4;49.7;30.67;1.62;5.06
Stuart McKinstry;MF;0;0;0;;0
Kenny McLean;MF;18.5;46.22;30.38;1.52;2.86
Dwight McNeil;MF;16.7;46.29;27.19;1.7;1.86
Scott McTominay;MF;14.3;58.88;37.97;1.55;4.13
Ben Mee;DF;13;48.38;22.15;2.18;2.15
Benjamin Mendy;DF;0.9;104.44;76.67;;8.89
Edouard Mendy;GK;20;30.4;15.15;;0
Illan Meslier;GK;20;42.3;20.85;;0
Luka Milivojević;MF;6.3;66.98;43.49;;4.92
James Milner;MF,DF;6.8;88.53;57.79;;7.21
Yerry Mina;DF;5.8;47.24;26.03;;1.9
Takumi Minamino;FW,MF;0.7;61.43;51.43;;2.86
Tyrone Mings;DF;17.4;56.55;32.82;1.72;2.47
Tyrick Mitchell;DF;20.9;66.75;35.22;1.9;4.21
Jakub Moder;MF,FW;12.8;55.78;38.52;1.45;3.59
Wesley Moraes;FW;0;0;0;;0
Tyler Morton;MF;0.7;55.71;30;;4.29
Mason Mount;MF,FW;14;57.64;42.14;1.37;3.86
Lucas Moura;FW,MF;13.4;54.7;41.34;1.32;4.33
João Moutinho;MF;18.4;65.22;42.34;1.54;3.64
Bali Mumba;DF;0.5;38;16;;2
Jacob Murphy;DF,MF;9;53.44;26.67;2;3.11
Enock Mwepu;MF;7.1;50.85;32.68;1.56;2.11
Vitaliy Mykolenko;DF;1;71;35;;4
Marvelous Nakamba;MF;8.4;47.5;26.19;1.81;3.1
Wilfred Ndidi;MF,DF;13;64.23;37;1.74;3
Tanguy Ndombele;MF;5.4;65.19;51.48;;3.7
Reiss Nelson;FW;0.2;80;55;;5
Rúben Neves;MF;16;73.31;50.94;1.44;4.75
Jeremy Ngakia;DF;6.2;55;23.55;;3.23
Saúl Ñíguez;MF,FW;1.8;85.56;57.78;;1.11
Eddie Nketiah;FW,MF;0.5;72;52;;4
Nicolas Nkoulou;DF;1.9;37.37;21.05;;0.53
Mark Noble;MF;1.1;64.55;47.27;;2.73
Mathias Normann;MF;7.8;55.26;29.87;1.85;3.85
Christian Nørgaard;MF;19.6;61.53;33.01;1.86;5.2
Angelo Ogbonna;DF;10.2;51.76;35.59;1.45;0.98
Michael Olise;FW,MF;4.5;70;52.44;;5.11
Andrew Omobamidele;DF;4.2;66.19;38.57;;3.1
Tyler Onyango;FW,MF;0;0;0;;0
Frank Onyeka;MF;10.5;41.24;24.48;1.68;2.19
Divock Origi;FW;0.5;58;46;;0
Alex Oxlade-Chamberlain;MF,FW;7.4;57.97;43.51;1.33;5.27
Cole Palmer;FW,MF;1.4;53.57;43.57;;3.57
Emerson Palmieri;DF;0.1;20;20;;0
Thomas Partey;MF;14.7;61.84;42.18;1.47;5.37
João Pedro;MF,FW;7;45;31.43;1.43;3.43
Nicolas Pépé;FW,MF;5.6;63.57;41.79;;1.79
Ricardo Pereira;DF;6.6;66.82;37.42;;3.94
Ayoze Pérez;FW,MF;2.4;45.42;33.75;;4.58
Sonny Perkins;FW;0;0;0;;0
Romain Perraud;DF;8.8;48.98;24.09;2.03;2.16
Kalvin Phillips;MF;11.1;69.28;43.24;1.6;3.69
Jaden Philogene Bidace;FW;0.1;30;20;;0
Jordan Pickford;GK;18;33.33;12.67;;0
Erik Pieters;DF,MF;1.2;60;29.17;;1.67
Ethan Pinnock;DF;18.7;65.72;33.26;1.98;1.98
Daniel Podence;FW,MF;6.8;45.88;35.44;;3.97
Paul Pogba;MF,FW;7;78.71;61.29;1.28;8
Nick Pope;GK;15;32;8.8;;0
Teemu Pukki;FW;19.2;24.32;15.21;1.6;0.73
Christian Pulisic;FW,MF;8.4;45.24;33.69;1.34;1.79
Przemysław Płacheta;FW,MF;4;44;27.75;;2
Jesuran Rak Sakyi;MF;0.2;65;45;;0
Aaron Ramsdale;GK;17;37.88;18.06;;0
Jacob Ramsey;MF,FW;12.9;47.29;34.11;1.39;3.64
Marcus Rashford;FW,MF;6.7;45.22;36.72;;2.39
Milot Rashica;FW,MF;10.8;41.48;24.17;1.72;1.57
David Raya;GK;9;48.11;23.89;;0
Nathan Redmond;MF,FW;14.4;45.14;31.32;1.44;3.96
Sergio Reguilón;DF;14.3;60.56;35.1;1.73;2.66
Declan Rice;MF;21;65.33;44.9;1.46;3.76
Taylor Richards;MF,FW;0.3;103.33;86.67;;6.67
Richarlison;FW,MF;10.3;33.69;21.84;1.54;1.65
Jaïro Riedewald;MF;1.3;50.77;31.54;;3.08
Matt Ritchie;DF;14.6;55;26.3;2.09;3.22
Connor Roberts;DF;0.2;70;20;;10
Tyler Roberts;MF,FW;9.6;40.94;28.33;1.45;2.29
Andrew Robertson;DF;14.5;89.93;61.03;1.47;7.1
Joe Rodon;DF;0.9;34.44;16.67;;0
Rodri;MF;17.4;91.15;71.03;1.28;5.4
Rodrigo;MF,FW;10.3;44.08;32.14;1.37;3.11
Jay Rodriguez;FW;4.1;30.98;21.71;;1.22
Mads Roerslev;DF;7.7;34.42;17.66;1.95;2.21
Cristian Romero;DF;5.9;66.1;42.03;;2.88
Oriol Romeu;MF;18.2;62.53;39.34;1.59;4.34
Cristiano Ronaldo;FW;14.4;42.29;34.24;1.24;1.88
Salomón Rondón;FW;7.9;31.39;21.65;1.45;0.38
Danny Rose;DF;7.7;53.12;22.47;2.36;4.16
Jon Rowe;FW,MF;0.4;37.5;22.5;;0
Antonio Rüdiger;DF;21;75.9;58.19;1.3;4.67
Lukas Rupp;MF;5.3;63.4;42.64;;2.64
José Sá;GK;20;30.85;8.95;;0
Allan Saint-Maximin;FW,MF;18.9;39.37;30.05;1.31;1.59
Romain Saïss;DF;18.4;67.28;42.77;1.57;4.24
Bukayo Saka;FW,MF;16.5;50.42;37.58;1.34;2.24
Mohamed Salah;FW;19.8;48.33;40.4;1.2;3.89
Mohammed Salisu;DF;19;68.05;36.16;1.88;4.05
Albert Sambi Lokonga;MF;9.1;69.78;50.44;1.38;4.51
Davinson Sánchez;DF;10.3;65.34;44.47;1.47;3.3
Robert Sánchez;GK;19;46.05;27.37;;0
Jadon Sancho;FW,MF;10.4;59.62;47.21;1.26;3.27
Morgan Sanson;MF;2.5;62.4;40;;2.8
Samir Santos;DF;1;53;34;;0
Josh Sargent;FW,MF;10.9;37.25;23.49;1.59;0.83
Jeremy Sarmiento;FW;0.2;80;40;;0
Ismaila Sarr;MF,FW;11.4;39.04;29.56;1.32;2.37
Malang Sarr;DF;2;82.5;49;;0
Fabian Schär;DF;9.8;49.49;27.24;1.82;1.02
Jeffrey Schlupp;MF,FW;7.6;43.16;26.97;1.6;2.24
Kasper Schmeichel;GK;18;40.06;16.83;;0
Ken Sema;MF,FW;4.7;30.21;18.09;;0.21
Nélson Semedo;DF;17.4;62.07;36.15;1.72;3.22
Ryan Sessegnon;DF;1.8;55.56;28.33;;2.22
Jamie Shackleton;DF;7;63.14;36.14;1.75;2.43
Luke Shaw;DF;13.1;74.43;46.79;1.59;4.35
Jonjo Shelvey;MF;10;55.3;31.8;1.74;3.7
Francisco Sierralta;DF;4.7;52.34;28.3;;0.64
Bernardo Silva;MF,FW;19.9;71.21;55.63;1.28;2.81
Fábio Silva;FW,MF;0.7;35.71;24.29;;1.43
Thiago Silva;DF;16.3;90;65.52;1.37;4.17
Ellis Simms;FW;0.7;28.57;18.57;;0
Moussa Sissoko;MF;16.8;41.9;21.43;1.96;3.21
Oliver Skipp;MF;13.6;63.6;45.96;1.38;4.71
William Smallbone;MF;0.8;35;16.25;;1.25
Emile Smith Rowe;MF,FW;13.4;47.01;34.25;1.37;2.99
Cédric Soares;DF;2.4;41.25;21.25;;2.08
Tomáš Souček;MF;19.9;53.42;32.01;1.67;3.07
Boubakary Soumaré;MF;10.5;54.95;38.67;1.42;2.95
Çağlar Söyüncü;DF;15.7;71.78;47.58;1.51;1.72
Jason Steele;GK;1;42;28;;0
Jed Steer;GK;1;37;19;;0
Zack Steffen;GK;1;41;20;;0
Dale Stephens;MF;0.4;50;30;;2.5
Jack Stephens;DF;5.4;61.11;35.19;;2.96
Raheem Sterling;FW;13.2;52.95;44.17;1.2;3.48
Finley Stevens;DF;0.2;50;25;;10
John Stones;DF;5.6;75;59.11;;3.04
Pascal Struijk;DF,MF;10.3;65.34;38.45;1.7;3.4
Crysencio Summerville;MF,FW;1.4;60.71;40.71;;4.29
Jakob Sørensen;DF,MF;3.9;56.15;31.54;;2.05
Japhet Tanganga;DF;6.6;59.85;36.21;;2.42
Matt Targett;DF;15.9;60.82;33.14;1.84;5.85
James Tarkowski;DF;16;44.62;19.75;2.26;2.56
Nuno Tavares;DF;6.9;72.32;45.22;;1.88
Charlie Taylor;DF;16;60.19;26.75;2.25;3.12
Nathan Tella;MF,FW;6.5;39.38;22.77;;1.23
Alex Telles;DF;6.2;73.39;41.29;;2.9
Luke Thomas;DF;10;67;37.5;1.79;3.7
Dominic Thompson;DF;1.6;35;18.12;;0.62
Youri Tielemans;MF;13;70.92;50.46;1.41;6.62
Kieran Tierney;DF;13.3;55.56;33.08;1.68;2.93
Takehiro Tomiyasu;DF;15.4;70.32;38.83;1.81;2.99
James Tomkins;DF;6.1;60.16;39.18;;1.48
Ivan Toney;FW;19;37.47;26.05;1.44;2.21
Ferrán Torres;FW;3.4;30.59;22.94;;0.59
Cenk Tosun;FW;0.1;30;20;;0
Andros Townsend;MF;14.1;43.4;26.31;1.65;3.05
Adama Traoré;FW;11.7;41.54;32.74;1.27;1.97
Bertrand Traoré;MF,FW;1.7;51.76;39.41;;5.29
