Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Bayern Munich,25,19,4,2,74,23,51,61,Qualification for the Champions League league phase
2,Bayer Leverkusen,25,15,8,2,55,30,25,53,Qualification for the Champions League league phase
3,Mainz 05,25,13,5,7,42,26,16,44,Qualification for the Champions League league phase
4,Eintracht Frankfurt,25,12,6,7,51,39,12,42,Qualification for the Champions League league phase
5,SC Freiburg,25,12,5,8,34,36,-2,41,Qualification for the Europa League league phase
6,RB Leipzig,25,10,9,6,39,33,6,39,Qualification for the Conference League play-off round
7,VfL Wolfsburg,25,10,8,7,49,39,10,38,
8,VfB Stuttgart,25,10,7,8,44,39,5,37,
9,Borussia Mönchengladbach,25,11,4,10,39,38,1,37,
10,Borussia Dortmund,25,10,5,10,45,39,6,35,
11,FC Augsburg,25,9,8,8,28,35,-7,35,
12,Werder Bremen,25,9,6,10,38,49,-11,33,
13,1899 Hoffenheim,25,6,8,11,32,47,-15,26,
14,Union Berlin,25,7,5,13,22,38,-16,26,
15,FC St. Pauli,25,6,4,15,19,30,-11,22,
16,VfL Bochum,25,5,5,15,26,49,-23,20,Qualification for the relegation play-offs
17,Holstein Kiel,25,4,5,16,37,61,-24,17,Relegation to 2. Bundesliga
18,1. FC Heidenheim,25,4,4,17,28,51,-23,16,Relegation to 2. Bundesliga
